Verum V,1,La Mancha_01,VT.Castilla,Tempranillo_1,,,Verum V,Red Wine,2009,0.140,
La Posada Tempranillo,2,La Mancha_02,La Mancha,Tempranillo_1,,,La Posada Tempranillo,Red Wine,2013,0.135,
FINCA LA ALMUNIA,3,La Mancha_03,CASTILLA LA MANCHA,Tempranillo_1,,,FINCA LA ALMUNIA,Red Wine,2014,0.135,
PASION FLAMENCA,4,La Mancha_04,CASTILLA LA MANCHA,Tempranillo_1,,,PASION FLAMENCA,Red Wine,2014,0.120,
Finca Antigua Reserva,5,La Mancha_05,La Mancha,Merlot_0.5/Cabernet Sauvignon_0.25/Syrah_0.25,,,Finca Antigua Reserva,Red Wine,2004,0.140,
Verum Tinto,6,La Mancha_06,VT.Castilla,Merlot_/Cabernet Sauvignon_/Tempranillo,,,Verum Tinto,Red Wine,2011,0.140,
CASONA DE LA VILLA,7,La Mancha_07,CASTILLA LA MANCHA,MERLOT_1,,,CASONA DE LA VILLA,Red Wine,2012,0.135,
Verum Roble,8,La Mancha_08,VT.Castilla,Cabernet Sauvignon_/Merlot_/Tempranillo_/,,,Verum Roble,Red Wine,2012,0.130,
CASONA DE LA VILLA SYRAH,9,La Mancha_09,CASTILLA LA MANCHA,SYRAH_1,,,CASONA DE LA VILLA SYRAH,Red Wine,2012,0.135,
GRAN COLEGIATA CAMPUS,1,Others_01,Toro,TINTA DE TORO_/,,,GRAN COLEGIATA CAMPUS,Red Wine,2008,0.145,
GRAN COLEGIATA RESERVA,2,Others_02,Toro,TINTA DE TORO_1,,,GRAN COLEGIATA RESERVA,Red Wine,2008,0.135,
GRAN COLEGIATA BARRICA,3,Others_03,Toro,TINTA DE TORO_1,,,GRAN COLEGIATA BARRICA,Red Wine,2011,0.140,
TEMPERANCIA,4,Others_04,D.O. Toro,Tinta de toro_1,,,TEMPERANCIA,Red Wine,2006,0.150,
MARQUES DE SANGOR CRIANZA 2011,5,Others_05,Catalunya,Tempranillo_/Merlot_,,,MARQUES DE SANGOR CRIANZA 2011,Red Wine,2011,0.130,
CARABAL GULAE ,6,Others_06,D.O. RIBERA DEL GUADIANA,MALBEC_0.6/PETIT VERDOT_0.4,,,CARABAL GULAE ,Red Wine,2010,0.145,
CARABAL CAVEA ,7,Others_07,D.O. RIBERA DEL GUADIANA,CABERNET SAUVIGNON_0.4/SYRAH_0.35/GRACIANO_0.15/TEMPRANILLO_0.1,,,CARABAL CAVEA ,Red Wine,2008,0.145,
Otazu Premium Cuvée,8,Others_08,Navarra,Cabernet Sauvignon_0.55/Tempranillo_0.35/Merlot_0.15,,,Otazu Premium Cuvée,Red Wine,2012,0.140,
Señorío de Otazu D.O.P. Pago de Otazu,9,Others_09,"Pago de Otazu, Navarra",Cabernet Sauvignon_0.85/Tempranillo_0.1/Merlot_0.05,,,Señorío de Otazu D.O.P. Pago de Otazu,Red Wine,2008,0.140,
Altar,10,Others_10,"Navarra, Spain",Cabernet Sauvignon_0.95/Merlot_0.05,,,Altar,Red Wine,2007,0.145,
JAUME GRAU I GRAU SENSUS CRIANZA 2012,11,Others_11,Pla del Bages,Cabernet franc.Syrah,,,JAUME GRAU I GRAU SENSUS CRIANZA 2012,Red Wine,2012,0.130,
PEÑA ROBLE,1,Ribera del Duero_01,Ribera del Duero,Tempranillo_1,,,PEÑA ROBLE,Red Wine,2013,0.140,
TINTO FIGUERO 4 ROBLE,3,Ribera del Duero_03,Ribera del Duero,Tempranillo_1,,,TINTO FIGUERO 4 ROBLE,Red Wine,2013,0.135,
Tinto FIGUERO 12 CRIANZA,4,Ribera del Duero_04,Ribera del Duero,Tempranillo_1,,,Tinto FIGUERO 12 CRIANZA,Red Wine,2009,0.140,
RESALTE CRIANZA,5,Ribera del Duero_05,Ribera del Duero,Tempranillo_1,,,RESALTE CRIANZA,Red Wine,2010,0.145,
