Verum V,La Mancha_01,VT.Castilla,Tempranillo_1,,,Verum V,Red Wine,2009,0.14 ,
Verum Tinto,La Mancha_06,VT.Castilla,Merlot_/Cabernet Sauvignon_/Tempranillo,,,Verum Tinto,Red Wine,2011,0.14 ,
Verum Roble,La Mancha_08,VT.Castilla,Cabernet Sauvignon_/Merlot_/Tempranillo_/,,,Verum Roble,Red Wine,2012,0.13 ,
La Posada Tempranillo,La Mancha_02,La Mancha,Tempranillo_1,,,La Posada Tempranillo,Red Wine,2013,0.14 ,
VETIVER BLANCO / 维迪亚干白葡萄酒,White& Rose& Sparkling_02,Rioja,VIURA _1,,,VETIVER BLANCO / 维迪亚干白葡萄酒,White Wine,2013,0.13 ,
Dondón  Tinto Joven-拉蒙河畔干红葡萄酒,Rioja-1_01,Rioja,Tempranillo,,,Dondón  Tinto Joven-拉蒙河畔干红葡萄酒,Red Wine,2014,0.14 ,
ONTAÑÓN CRIANZA / 望隆陈酿干红葡萄酒,Rioja-1_02,Rioja,Tempranillo_0.9/Garnacha_0.1 ,,,ONTAÑÓN CRIANZA / 望隆陈酿干红葡萄酒,Red Wine,2011,0.13 ,
Tierra CRIANZA ,Rioja-1_03,Rioja, Tempranillo_1,,,Tierra CRIANZA ,Red Wine,2011,0.14 ,
LA HOJA CRIANZA,Rioja-1_04,Rioja,Tempranillo_1,,,LA HOJA CRIANZA,Red Wine,2011,0.14 ,
DON JACOBO VITICULTURA ECOLOGICA,Rioja-1_05,Rioja,Mazuelo_0.5/Tempranillo_0.5,,,DON JACOBO VITICULTURA ECOLOGICA,Red Wine,2011,0.14 ,
CAMPOLOSA,Rioja-1_06,Rioja,Tempranillo_0.9/Garnacha_0.1 ,,,CAMPOLOSA,Red Wine,2011,0.14 ,
VIÑA POMAL CENTENARIO RESERVA,Rioja-1_07,Rioja,TEMPRANILLO_1,,,VIÑA POMAL CENTENARIO RESERVA,Red Wine,2010,0.14 ,
Torre de Oña Reserva,Rioja-1_08,Rioja,Tempranillo_0.95/Mazuelo_0.05,,,Torre de Oña Reserva,Red Wine,2010,0.14 ,
ANNA DE CODORNIU BLANC DE BLANCS RESERVA,White& Rose& Sparkling_01,Cava,"CHARDONNAY_0.7/MACABEO, XARELO, PARELLADA_0.3",,,ANNA DE CODORNIU BLANC DE BLANCS RESERVA,Sparkling Wine,NV,0.12 ,
"Valdubon Reserva 2009
维尔博庄园珍藏干红葡萄酒 2009",Ribera del Duero_07,Ribera del Duero,Tempranillo_1,,,"Valdubon Reserva 2009
维尔博庄园珍藏干红葡萄酒 2009",Red Wine,2009,0.14 ,
"VIONTA ALBARIÑO 2013
 维恩达庄园干白葡萄酒 2013",White& Rose& Sparkling_05,"Rías Baixas
下海湾法定产区",Albariño_1,,,"VIONTA ALBARIÑO 2013
 维恩达庄园干白葡萄酒 2013",White Wine,2013,0.13 ,
DON JACOBO CRIANZA,Rioja-1_09,Rioja,"Tempranillo_0.85/Garnacha_0.1/Mazuelo,Graciano_0.05",,,DON JACOBO CRIANZA,Red Wine,2010,0.14 ,
ALTOS DE CORRAL,Rioja-2_01,Rioja,Tempranillo_1,,,ALTOS DE CORRAL,Red Wine,2010,0.14 ,
LAETUS,Rioja-2_02,Rioja,Tempranillo_0.9/Garnacha_0.1 ,,,LAETUS,Red Wine,2010,0.14 ,
