"Wine English Name
葡萄酒名称（英文）",,编号,Region,Grape Varieties,,"Wine Chinese Name
葡萄酒名称（中文）","Wine English Name
葡萄酒名称（英文）","Type
类型","Vintage
年份","Alcohol level
酒精度","Residual Sugar Level
甜度（g/L）"
AIGLE NOIR VIOGNIER 2013 750ml ,1,AROM-A-1_01,France>South France>South France,Viognier_1,,黑鹰牌维奥涅尔白葡萄酒,AIGLE NOIR VIOGNIER 2013 750ml ,white,2013,0.13,干型
"Dominio Del Plata, Crios de Susana Balbo  Torrontes",2,AROM-A-1_02,Argentina>Salta,Torrontes_1,,德米诺酒庄，西乐苏珊系列托龙特斯白,"Dominio Del Plata, Crios de Susana Balbo  Torrontes",White,2014,0.14,
"Yalumba Y Series Viognier, South Australia",3,AROM-A-1_03,Australia>South Australia,,Viognier_1,御兰堡雅系列维安尼亚白葡萄酒,"Yalumba Y Series Viognier, South Australia",White Wine,2014,0.135,0.9
Vins Sophora,4,AROM-A-1_04,New Zealand,,Gewurztraminer_0.8,槐梦园,Vins Sophora,半甜,NV,12.5,28
Fattoria Nittardi Ben,5,AROM-B-1_05,Italy>TOSCANA>Chianti Classico,Vermentino_1,,尼塔帝酒庄繁星白葡萄酒,Fattoria Nittardi Ben,白葡萄酒,2013,0.13,
ElephantHill Le Phant Blanc,6,AROM-B-1_06,New Zealand>Hawkes Bay,Viognier_0.6/Pinot Gris_0.31/Gewurztraminer_0.09,,象山酒庄乐朋白葡萄酒,ElephantHill Le Phant Blanc,干白,2013,0.145,
Laurent Miquel Verite Viognier,7,AROM-B-1_07,France>Languedoc Roussillon,Viognier_1,,劳伦米格尔珍酿真理维欧尼干白葡萄酒,Laurent Miquel Verite Viognier,干白,2012,0.135,1.66
Domaine Martin Schaetzel Gewurtztraminer Cuvee Reserve,8,AROM-B-1_08,France> Alsace,Gewurztraminer_1,,马丁·诗泽庄园珍藏琼瑶浆甜白葡萄酒,Domaine Martin Schaetzel Gewurtztraminer Cuvee Reserve,甜白,2012,0.135,
"Benvenuto de la Serna Mil Piedras Viognier, Uco Valley Mendoza",9,AROM-B-2_09,Argentina>Mendoza>Uco Valley,Viognier_1,,本托·赛纳 砾石系列维欧尼干白葡萄酒,"Benvenuto de la Serna Mil Piedras Viognier, Uco Valley Mendoza",干白,2008,0.123,
"Argiolas, Costamolino, Vermentino di Sardegna, DOC",10,AROM-B-2_10,Italy>Sardegna,Vermentino_1,,阿吉拉斯酒庄，科斯塔莫白,"Argiolas, Costamolino, Vermentino di Sardegna, DOC",White,2014,0.14,
"Josmeyer, Gewurztraminer ""Les Folastries"", AOP",11,AROM-B-2_11,France>Alsace,Gewurztraminer_1,,"乔士迈庄园，""喜悦"" 琼瑶浆白","Josmeyer, Gewurztraminer ""Les Folastries"", AOP",White,2011,0.14,
LES MARQUISES BLANC,12,AROM-B-2_12,France>Rhône Valley>Nimes,,Roussanne_0.9/Viognier_0.1,拉玛赫侯爵干白葡萄酒,LES MARQUISES BLANC,干白,2009,0.13,
Gewurztraminer AOC,13,AROM-B-2_13,France>Alsace,,Gewurztraminer_1,,Gewurztraminer AOC,White,,,
"Hugel et Fils Gewurztraminer, Alsace AOC",14,AROM-B-2_14,France>Alsace AOC,,Gewurztraminer_1,"雨果格乌香茗纳, 阿尔萨斯AOC","Hugel et Fils Gewurztraminer, Alsace AOC",White Wine,2012,0.141,4.38
Vinoptima,18,AROM-C-2_15,New Zealand>Gisborne,,Gewurztraminer_1,维诺堤玛,Vinoptima,半甜,2008,14,20
MONTEORO,16,AROM-C-2_16,Italy>Sardinia>Gallura,,vermentino_1,蒙特罗干白葡萄酒,MONTEORO,干白,2012,0.14,
Grüner Veltliner Berg,17,AROM-C-2_17,Austria>Traisental,,Grüner Veltliner_1,,Grüner Veltliner Berg,white,2013,0.135,3.8
Grüner Veltliner Alte Setzen,15,AROM-C-2_18,Austria>Traisental,,Grüner Veltliner_1,,Grüner Veltliner Alte Setzen,white,2013,0.135,3.6
Casa Silva Reserva Carmenere 2013,1,CARM-A-1_01,Chile>Colchagua Valley>Colchagua Valley,Carmenere_1,,白银庄珍藏卡曼纳干红葡萄酒 2013,Casa Silva Reserva Carmenere 2013,red,2013,0.135,dry
VISTAMAR Sepia Reserva Carmenere,2,CARM-A-1_02,Chile>Maipo Valley,,carmenere_1,维斯特玛-佳美娜怀旧珍藏干红葡萄酒 ,VISTAMAR Sepia Reserva Carmenere,干型,2013,0.13,
TARAPACA GRAN RESERVA CARMENERE,3,CARM-B-1_03,Chile>MAIPO VALLEY,Carmenere_0.96/Syrah_0.04,,红蔓庄园特级珍藏卡曼尼红葡萄酒,TARAPACA GRAN RESERVA CARMENERE,red,2013,0.14,
"Casa Silva Gran Reserva Carmenere,Los Lingues 2012",4,CARM-B-1_04,Chile>Colchagua Valley>Colchagua Valley,Carmenere_1,,白银庄骆铃园卡曼纳干红葡萄酒 2012,"Casa Silva Gran Reserva Carmenere,Los Lingues 2012",red,2012,0.14,dry
